"OBJECTID","DATATYPE","GENUSSPECI","DBH_IN","LU","CROWN_COMPACTNESS","HEIGHT_MAX","HEIGHT_MEAN","CROWN_AREA","HU_DENS","RELBORDER_TREE","NDVI_MAX","NDVI_MEAN","NDVI_STD","BLDG_AGE","IS_CLEANED_CROWN_AREA","IS_CLEANED_CROWN_COMPACTNESS","IS_CLEANED_DBH_IN","IS_CLEANED_HEIGHT_MAX","IS_CLEANED_HEIGHT_MEAN","IS_CLEANED_NDVI_MEAN","IS_CLEANED_NDVI_MAX"
237975,"Point","Tilia cordata",19,13,1.61538461538461,35.57373046875,17.3216887253981,1299.99480002,6.20887,0.13953488372093,0.76296293736,0.31361739616,0.13671178338,40,0,0,0,0,0,0,0
236007,"Point","Malus spp.",22,13,1.58051427631762,24.3849487304687,10.8246341281467,449.998200005,6.20887,0.282608695652173,0.4111675024,0.31153601629,0.07022768914,40,0,0,0,0,0,0,0
236374,"Point","Picea pungens",6,13,1.39240506329113,24.8943481445312,11.6787148004845,493.748025006,6.20887,0,0.48275861144,0.40676611359,0.04900336296,40,0,0,0,0,0,0,0
236439,"Point","Pinus nigra",10,7,1.25714285714285,32.6187133789062,13.7175589425223,656.247375008,6.20887,0.291666666666666,0.59649121761,0.43502646275,0.06419888751,40,0,0,0,0,0,0,0
236655,"Point","Pinus strobus",16,13,1.39999999999999,25.9412231445312,13.5203108354048,687.497250008,6.20887,0.06,0.30386739969,0.19977623091,0.04697049337,40,0,0,0,0,0,0,0
237422,"Point","Syringa reticulata",2,13,1.43478260869565,22.3550415039062,12.877975331182,718.747125009,6.20887,0.153846153846153,0.36986300349,0.22954870033,0.06488410998,40,0,0,0,0,0,0,0
237640,"Point","Tilia americana",7,13,1.44111066008518,20.6875,10.5345139936967,549.997800007,6.20887,0,0.58333331347,0.39122063383,0.09400964785,40,0,0,0,0,0,0,0
237652,"Point","Tilia americana",2,13,1.04166666666666,17.0443725585937,7.35795847574869,149.999400002,6.20887,0,0.39393940568,0.2471038724,0.08408250704,40,0,0,0,0,0,0,0
237660,"Point","Tilia americana",9,13,1.23364485981308,32.7100219726562,14.8599716614339,668.747325008,6.20887,0,0.45544555783,0.26919275514,0.12882760158,40,0,0,0,0,0,0,0
237982,"Point","Tilia cordata",13,13,1.45454545454545,20.7474975585937,7.40421549479166,206.249175002,6.20887,0,0.44910180569,0.29818472743,0.07204702586,40,0,0,0,0,0,0,0
237986,"Point","Tilia cordata",8,13,1.26760563380281,16.166259765625,6.96247197540713,443.748225005,6.20887,0,0.24187725782,0.18415028627,0.03360218575,40,0,0,0,0,0,0,0
237995,"Point","Tilia cordata",8,13,1.53034500367518,14.9287109375,6.3774675641741,306.248775004,6.20887,0,0.20149253309,0.13586937228,0.03380617238,40,0,0,0,0,0,0,0
237955,"Point","Tilia cordata",8,13,1.2,22.6712646484375,11.5380981445312,468.748125006,6.20887,0,0.48223349452,0.33383827487,0.0780715109,40,0,0,0,0,0,0,0
237956,"Point","Tilia cordata",4,13,1.61706489887828,25.7350463867187,11.7010440826416,599.997600007,6.20887,0.296296296296296,0.48979592323,0.41299561086,0.05719164993,40,0,0,0,0,0,0,0
238021,"Point","Tilia cordata",3,13,2,16.1218872070312,7.1326719341856,412.498350005,6.20887,0.423076923076923,0.57777780294,0.40934913825,0.0641830438,40,0,0,0,0,0,0,0
237978,"Point","Tilia cordata",9,13,1.5,29.3512573242187,16.2671508789062,812.49675001,13.1186,0,0.68421053886,0.43228895782,0.11959664114,44,0,0,0,0,0,0,0
238000,"Point","Tilia cordata",13,13,1.45833333333333,26.9562377929687,15.9918740590413,599.997600007,13.1186,0.534482758620689,0.60227274895,0.3555782754,0.09415203603,44,0,0,0,0,0,0,0
238003,"Point","Tilia cordata",12,13,1.45216246334129,28.1000366210937,15.7104024098331,831.24667501,13.1186,0,0.88732391596,0.41916521386,0.13285515891,44,0,0,0,0,0,0,0
236138,"Point","Nyssa sylvatica",2,13,1.42335766423357,33.208740234375,17.1543574646441,856.24657501,3.88254,0,0.5,0.39399638431,0.08235315786,34,0,0,0,0,0,0,0
236413,"Point","Picea spp.",20,13,1,14.3175048828125,3.78012084960937,124.999500001,6.48684,0,0.25696593523,0.19990226813,0.02577453664,52,0,0,0,0,0,0,0
236753,"Point","Prunus spp.",8,13,1.5,13.3931884765625,5.00100708007812,124.999500001,6.48684,0,0.32352942228,0.2250592936,0.03533351747,52,0,0,0,0,0,0,0
236858,"Point","Pyrus calleryana",8,13,1.60714285714285,20.6106567382812,9.44837188720703,349.998600004,11.0495,0.386363636363636,0.23004694283,0.09671884098,0.04513088441,49,0,0,0,0,0,0,0
236979,"Point","Pyrus calleryana",9,13,1.96391968185362,54.58935546875,27.6032523515928,2412.49035003,6.48684,0.407692307692307,0.63529413939,0.3799252151,0.08166475745,52,0,0,0,0,0,0,0
237030,"Point","Pyrus calleryana",2,13,1.44289777030086,41.7474975585937,21.9420443021334,1624.99350002,7.10894,0.304878048780487,0.92307692766,0.53043998861,0.1142549493,39,0,0,0,0,0,0,0
237063,"Point","Pyrus calleryana",5,13,1.48148148148148,32.1856079101562,12.374448100095,1181.24527501,11.0495,0.197368421052631,0.46198830009,0.17504773391,0.07526229957,49,0,0,0,0,0,0,0
237233,"Point","Quercus macrocarpa",13,13,1.63090128755364,31.947509765625,17.1576902201247,1456.24417502,3.88254,0,0.47058823705,0.27887989967,0.10738114603,34,0,0,0,0,0,0,0
237437,"Point","Syringa reticulata",2,13,1.42245989304812,29.2025146484375,13.7657787302598,1168.74532501,3.88254,0,0.45812806487,0.31371949902,0.10699967735,34,0,0,0,0,0,0,0
237481,"Point","Taxodium distichum",8,13,1.41176470588235,21.072509765625,8.69908710554534,318.748725004,3.88254,0,0.46666666865,0.3751385012,0.05758058528,34,0,0,0,0,0,0,0
237608,"Point","Tilia americana",2,13,1.41342756183745,44.6531372070312,23.8472201613571,1768.74292502,11.0495,0.276595744680851,0.55555558205,0.33656586041,0.13196973466,49,0,0,0,0,0,0,0
237639,"Point","Tilia americana",11,13,1.66019417475728,44.494384765625,19.9601366357895,1287.49485002,11.0495,0.268292682926829,0.60305345058,0.38392036977,0.11120784093,49,0,0,0,0,0,0,0
237889,"Point","Tilia cordata",9,8,1.37096774193548,40.8468627929687,21.6592617240003,1162.49535001,6.48684,0.227272727272727,0.68000000715,0.41127303741,0.13106770607,52,0,0,0,0,0,0,0
237923,"Point","Tilia cordata",16,13,1.34456437823623,43.4506225585937,28.5414026596966,531.247875006,11.0495,0.795454545454545,0.54000002146,0.43824886268,0.036776926,49,0,0,0,0,0,0,0
237929,"Point","Tilia cordata",3,13,1.94845360824742,22.2818603515625,8.69754657548727,1212.49515001,6.20887,0,0.38071066141,0.20604205404,0.09713533493,40,0,0,0,0,0,0,0
238252,"Point","Ulmus hybrid",6,13,1.13207547169811,16.1806030273437,5.41567590101709,331.248675004,3.88254,0,0.42452830076,0.32381425755,0.0698870237,34,0,0,0,0,0,0,0
238253,"Point","Ulmus hybrid",2,13,1.37579617834394,33.5505981445312,18.5920670624751,981.246075012,3.88254,0,0.48201438785,0.38274196093,0.06750155319,34,0,0,0,0,0,0,0
238268,"Point","Ulmus hybrid",6,13,1.67664670658682,31.2018432617187,19.3342398455043,1043.74582501,3.24878,0.355263157894736,0.71641790867,0.36975004101,0.13778268475,42,0,0,0,0,0,0,0
238382,"Point","Ulmus parvifolia",50,13,1.63768017249794,41.3162841796875,12.5906413151667,649.997400008,6.48684,0,0.4774774909,0.1684210329,0.07870680975,52,0,0,0,0,0,0,0
237666,"Point","Tilia americana",9,13,1.8095238095238,34.2793579101562,14.8669704861111,1968.74212502,13.1186,0.0263157894736842,0.65100669861,0.37258274075,0.0942286884,44,0,0,0,0,0,0,0
237959,"Point","Tilia cordata",7,13,1.546875,22.6381225585937,10.8578166961669,399.998400005,6.20887,0.1,0.55670100451,0.46107515401,0.05565452294,40,0,0,0,0,0,0,0
237998,"Point","Tilia cordata",12,13,1.8095238095238,34.2793579101562,14.8669704861111,1968.74212502,13.1186,0.0263157894736842,0.65100669861,0.37258274075,0.0942286884,44,0,0,0,0,0,0,0
238258,"Point","Ulmus hybrid",6,13,1.43497757847533,22.735595703125,11.2426798867537,1393.74442502,6.20887,0.444444444444444,0.68944096565,0.37506135196,0.09081583362,40,0,0,0,0,0,0,0
